period_num,AMM,Perpetuals,Lending,RoutersZaps,DEXAggregator
1,154.0257852574058,258.7637565203556,92.41533450197038,184.83101063512348,123.2205598796881
2,194.86840974547604,327.37948161483405,116.92087295902489,233.8421781387016,155.89464135225046
3,243.35366102204208,408.83484141183504,146.01198070859888,292.02450117876367,194.68282086532048
4,233.47668560518272,392.24149467021954,140.08580422138692,280.1721262970806,186.78124491328484
5,156.74171474846096,263.3265257760057,94.0448897870168,188.09012722918305,125.39330226773887
6,333.9428736049097,561.0249757389496,200.36542788710167,400.73159646381373,267.1541507460057
7,145.9324680552612,245.16696064336753,87.55935136111651,175.11902640233356,116.74590970818885
8,172.20688902809394,289.30806247229333,103.32398063401399,206.6483432251339,137.76543483105397
9,394.8290203352675,663.3138751051642,236.89706190681216,473.79499954949523,315.8630411210398
10,184.99153869711003,310.7863102125837,110.99475909281635,221.98992849925682,147.99314889496318
11,368.2603977689092,618.6785137638603,220.95591193881648,441.9126406839555,294.6081548538628
12,305.5495619182426,513.3241314951315,183.32946606579435,366.65960984446673,244.4395139920185
