period_num,btc_price_usd,exchange_rate_btc_per_stbtc,stbtc_assets_btc,stbtc_supply,fees_total_btc,weighted_gas_score,stbtc_return_period,stbtc_apy_annualized
1,72490.77294068533,0.9327716914562263,9384563.207741892,10060943.415950887,791.3843985614931,154269285861.04633,-0.06722830854377371,-0.5661852768640574
2,83362.59466067991,0.8700757999437106,8807131.93705496,10122258.241896551,1001.2337803526518,178215169174.17886,-0.06721461648845273,-0.5661088556586036
3,121898.59269190508,0.8116092442647093,8265385.31836806,10183946.74133637,1250.3509743113375,208849765951.52313,-0.06719708292402093,-0.5660109753312437
4,59008.27166768817,0.75707274736668,7756975.842347307,10246011.191564264,1199.6030801401434,188274723620.36206,-0.06719550976460054,-0.5660021922507941
5,96548.22351176843,0.7061853138573367,7279678.741281823,10308453.883752758,805.3388427684947,109210930220.9455,-0.06721604190131603,-0.566116812071703
6,110341.85223045704,0.6587646145068222,6832230.375901266,10371277.123037565,1715.7982979282442,261579792809.0074,-0.06715050344433304,-0.5657508491836583
7,182485.2237000294,0.6144870038333367,6411854.335693265,10434483.228602685,749.8009393005468,121706940176.05183,-0.06721309812099363,-0.5661003802415889
8,211106.33577895263,0.5731940554656653,6017433.916590165,10498074.533766015,884.798899573156,162897153810.52768,-0.06719905890616851,-0.5660220071737669
9,455214.0079154842,0.534732679139183,5647875.104341877,10562053.386065487,2028.6312857971652,378902606798.178,-0.06710009631072689,-0.5654691862365155
10,225729.6829640499,0.49880719759809933,5300535.851811902,10626422.147345733,950.4864224267183,162750234315.47546,-0.06718400229235433,-0.5659379401166782
11,748153.3751708394,0.4653421053786851,4975057.696413174,10691183.193845274,1892.121717901462,326135290894.6103,-0.06709023522627244,-0.5654140652852783
12,1659515.3731974883,0.434112617252424,4669462.439002253,10756338.916284239,1569.9134783522854,259712632077.98297,-0.06711081538784724,-0.5655290958788785
