period_num,Lending,AMM,Perpetuals,InterestTokenisation,RoutersZaps
1,323.4536707568964,53.90902484009204,90.56731478212448,194.07268073779363,129.38170744458645
2,409.2230553565872,68.20394341091662,114.58281856519194,245.53443832286484,163.68952469709114
3,511.0419324800961,85.17378135771473,143.09219449414226,306.6259151542499,204.41715082513457
4,490.30031477485426,81.71683996181395,137.28452313457683,294.180913860942,196.1204884079564
5,329.1571142545588,54.85960016196134,92.164284021602,197.4947552699445,131.66308906042815
6,701.2789976048558,116.8800057617184,196.35874150863236,420.76843552836806,280.5121175246696
7,306.4577297639078,51.07636381934143,85.80843622517865,183.87509101048548,122.58331848163351
8,361.633932219049,60.27241115983288,101.25782186530269,216.98089407137766,144.65384025759374
9,829.1397166738425,138.19015711734366,232.15985628680747,497.4850560345248,331.6564996846467
10,388.4816568248573,64.74703854398851,108.77520857440432,233.0895685339882,155.39294994947983
11,773.3456917858576,128.8911392191182,216.5374798173511,464.00855860036626,309.33884847876885
12,641.6531312302802,106.94234667138493,179.66344602329602,384.9928275361974,256.66172689112676
13,422.79569057059257,70.4660526248425,118.38316846684336,253.67803952081795,169.11858881746824
14,199.78268235892244,33.297162962178994,55.93932830898918,119.86990482950496,79.91322065064473
15,180.40433901121892,30.067434295175108,50.51337497904034,108.24287016656308,72.16186898440343
16,993.539740772333,165.59020164952736,278.1920088911519,596.1253135882309,397.4166308713488
17,1756.6833431882474,292.78099012605503,491.8728946335591,1054.0126034810314,702.6746360593404
18,621.7526010719557,103.62558674058657,174.0912799230858,373.0524800147371,248.70150011456414
19,205.45247340890043,34.242129534474024,57.52687483325837,123.27178784328399,82.18114126253204
20,189.88159047565534,31.646978541547554,53.16701379736148,113.92923505902317,75.95277657707712
21,972.3494409758944,162.05847979451775,272.25870614797776,583.4111023767488,388.94049528596383
22,909.7758835852792,151.62953814173028,254.73805456293968,545.8668754162701,363.91102606666294
23,3279.244696784464,546.541590954953,918.1914244668027,1967.551667015933,1311.7003031864126
24,395.44963302537695,65.90836962797336,110.72624809258349,237.27036455768942,158.1801455813824
25,350.7237264750011,58.45404084704566,98.20295457736401,210.43475449227353,140.28974989363687
26,265.34255246991694,44.223824137661886,74.29615010520936,159.20592383800454,106.13721716599396
27,413.0626287721888,68.84387325976535,115.65790252805479,247.83818804971654,165.22535690207715
28,1280.7373533945404,213.45654119866845,358.6075952289536,768.4443058341946,512.2958882565514
29,1275.4946882814065,212.58276238777768,357.13964434594965,765.2986990141036,510.1988183351924
30,239.91927147132225,39.98660437242397,67.17760886990317,143.9519176460149,95.96788597013968
31,171.86086307196436,28.64351953312512,48.12119413622183,103.11677196996496,68.74447229217891
32,699.5407043235482,116.59028978643795,195.87201784764116,419.7254569892084,279.816798926959
33,114.79515363013924,19.132553895857782,32.142744863443454,68.877261923091,45.918146324559416
34,2046.14177859812,341.0241340303117,572.9215133577237,1227.6880927426223,818.4582242311232
35,116.90442578887762,19.484099775469712,32.73334293925012,70.14282833726722,46.76185674752137
36,920.6181732109608,153.43658908471878,257.7739052774802,552.3722652239285,368.2479499330603
37,184.69606765583848,30.782723460292107,51.71506280718329,110.81791369941728,73.87856361529248
38,75.32155138963735,12.55361046098641,21.090101214867126,45.193042210063524,30.1286762439955
39,67.06859905192145,11.178116370791312,18.77926723823386,40.24125860397929,26.82748920718179
40,203.95032616268975,33.991771289907035,57.10627227160461,122.3704972743663,81.58028125345214
41,80.55612253385488,13.426040275063068,22.555785779393485,48.333792636836456,32.222508571803715
42,2702.3228288943496,450.3878041263726,756.6527896087495,1621.397693200496,1080.931129489683
43,231.74449557448096,38.624139708307595,64.88866436607343,139.04704002005317,92.69796956747469
44,60.20288632183939,10.033829223748512,16.85686158250604,36.12182081375531,24.081199039061598
45,2469.3265990146992,411.5550417253849,691.4136385266819,1481.5996107464296,987.7324652746848
46,219.8215962679507,36.63698688553212,61.55024198217141,131.89328280601242,87.92880102980129
47,49085.67776241323,8180.958390716514,13744.033322607214,29451.47923933379,19634.307395908218
48,3567.01480354994,594.5033463357281,998.7673096726402,2140.2141565943925,1426.8085586521902
49,551.1048195415331,91.85093907463563,154.30983841539768,330.6637066312005,220.44233526975356
50,808.8004790410163,134.8002791660105,226.46485170451263,485.28148337965655,323.5207895939299
51,53.84379222122651,8.973978639804836,15.076309592504925,32.30635495033841,21.53755669729186
52,42.433384033009126,7.0722411297163505,11.881385176415945,25.460093165094456,16.973384985848142
